Idpt	xcoord	ycoord
512	782474.831873646	9923154.14609349
513	782476.413012477	9923149.402677
514	782477.994151307	9923144.65926051
515	782479.575290137	9923139.91584402
516	782481.156428967	9923135.17242753
517	782482.737567797	9923130.42901104
518	782484.318706627	9923125.68559455
519	782485.899845457	9923120.94217806
520	782487.480984287	9923116.19876157
521	782489.062123117	9923111.45534508
522	782490.643261947	9923106.71192859
523	782492.224400777	9923101.9685121
524	782493.805539607	9923097.22509561
525	782495.386678437	9923092.48167912
526	782496.967817268	9923087.73826263
527	782498.548956098	9923082.99484614
528	782500.130094928	9923078.25142965
529	782501.711233758	9923073.50801316
530	782503.292372588	9923068.76459667
531	782504.873511418	9923064.02118018
532	782506.454650248	9923059.27776369
533	782508.035789078	9923054.5343472
534	782509.616927908	9923049.79093071
535	782511.198066738	9923045.04751422
536	782512.779205568	9923040.30409773
537	782514.360344398	9923035.56068124
538	782515.941483229	9923030.81726475
539	782517.522622059	9923026.07384825
540	782519.103760889	9923021.33043176
541	782520.684899719	9923016.58701527
542	782522.266038549	9923011.84359878
543	782523.847177379	9923007.10018229
544	782525.428316209	9923002.3567658
545	782527.009455039	9922997.61334931
546	782528.590593869	9922992.86993282
547	782530.171732699	9922988.12651633
548	782531.752871529	9922983.38309984
549	782533.334010359	9922978.63968335
550	782534.91514919	9922973.89626686
551	782536.49628802	9922969.15285037
552	782538.07742685	9922964.40943388
553	782539.65856568	9922959.66601739
554	782541.23970451	9922954.9226009
555	782542.82084334	9922950.17918441
556	782544.40198217	9922945.43576792
557	782545.983121	9922940.69235143
558	782547.56425983	9922935.94893494
559	782549.14539866	9922931.20551845
560	782550.72653749	9922926.46210196
561	782552.30767632	9922921.71868547
562	782553.88881515	9922916.97526898
563	782555.469953981	9922912.23185249
564	782557.051092811	9922907.488436
565	782558.632231641	9922902.74501951
566	782560.213370471	9922898.00160302
567	782561.794509301	9922893.25818653
568	782563.375648131	9922888.51477004
569	782564.956786961	9922883.77135355
570	782566.537925791	9922879.02793706
571	782568.119064621	9922874.28452057
572	782569.700203451	9922869.54110408
573	782571.281342281	9922864.79768759
574	782572.862481112	9922860.0542711
575	782574.443619942	9922855.3108546
576	782576.024758772	9922850.56743811
577	782577.605897602	9922845.82402162
578	782579.187036432	9922841.08060513
579	782580.768175262	9922836.33718864
580	782582.349314092	9922831.59377215
581	782583.930452922	9922826.85035566
582	782585.511591752	9922822.10693917
583	782587.092730582	9922817.36352268
584	782588.673869412	9922812.62010619
585	782590.255008242	9922807.8766897
586	782591.836147072	9922803.13327321
587	782593.417285903	9922798.38985672
588	782594.998424733	9922793.64644023
589	782596.579563563	9922788.90302374
590	782598.160702393	9922784.15960725
591	782599.741841223	9922779.41619076
592	782601.322980053	9922774.67277427
593	782602.904118883	9922769.92935778
594	782604.485257713	9922765.18594129
595	782606.066396543	9922760.4425248
596	782607.647535373	9922755.69910831
597	782609.228674203	9922750.95569182
598	782610.809813033	9922746.21227533
599	782612.390951864	9922741.46885884
600	782613.972090694	9922736.72544235
601	782615.553229524	9922731.98202586
602	782617.134368354	9922727.23860937
603	782618.715507184	9922722.49519288
604	782620.296646014	9922717.75177639
605	782621.877784844	9922713.0083599
606	782623.458923674	9922708.26494341
607	782625.040062504	9922703.52152692
608	782626.621201334	9922698.77811043
609	782628.202340164	9922694.03469394
610	782629.783478995	9922689.29127745
611	782631.364617825	9922684.54786096
612	782632.945756655	9922679.80444447
613	782634.526895485	9922675.06102798
614	782636.108034315	9922670.31761149
615	782637.689173145	9922665.574195
616	782639.270311975	9922660.83077851
617	782640.851450805	9922656.08736202
618	782643.613089001	9922651.96951948
619	782646.650339539	9922647.99773032
620	782649.687590077	9922644.02594116
621	782652.724840615	9922640.05415199
622	782655.762091153	9922636.08236283
623	782658.799341691	9922632.11057366
624	782661.836592229	9922628.1387845
625	782664.873842766	9922624.16699533
626	782667.911093304	9922620.19520617
627	782670.948343842	9922616.223417
628	782673.98559438	9922612.25162784
629	782677.022844918	9922608.27983867
630	782680.060095456	9922604.30804951
631	782683.097345994	9922600.33626034
632	782686.134596531	9922596.36447118
633	782689.171847069	9922592.39268201
634	782692.209097607	9922588.42089285
635	782695.246348145	9922584.44910368
636	782698.283598683	9922580.47731452
637	782701.320849221	9922576.50552535
638	782704.358099759	9922572.53373619
639	782707.395350296	9922568.56194702
640	782710.432600834	9922564.59015786
641	782713.469851372	9922560.61836869
642	782716.50710191	9922556.64657953
643	782719.544352448	9922552.67479036
644	782722.581602986	9922548.7030012
645	782725.618853524	9922544.73121203
646	782728.656104061	9922540.75942287
647	782731.693354599	9922536.7876337
648	782734.730605137	9922532.81584454
649	782737.767855675	9922528.84405537
650	782740.805106213	9922524.87226621
651	782743.842356751	9922520.90047704
652	782746.879607289	9922516.92868788
653	782749.916857826	9922512.95689872
654	782752.954108364	9922508.98510955
655	782755.991358902	9922505.01332038
656	782759.02860944	9922501.04153122
657	782762.065859978	9922497.06974206
658	782765.103110516	9922493.09795289
659	782768.140361054	9922489.12616372
660	782771.177611591	9922485.15437456
661	782774.214862129	9922481.1825854
662	782777.252112667	9922477.21079623
663	782780.289363205	9922473.23900707
664	782783.326613743	9922469.2672179
665	782786.363864281	9922465.29542874
666	782789.401114819	9922461.32363957
667	782792.438365356	9922457.35185041
668	782795.475615894	9922453.38006124
669	782798.512866432	9922449.40827208
670	782801.55011697	9922445.43648291
671	782804.587367508	9922441.46469375
672	782807.624618046	9922437.49290458
673	782810.661868584	9922433.52111542
674	782813.699119121	9922429.54932625
675	782816.736369659	9922425.57753709
676	782819.773620197	9922421.60574792
677	782822.810870735	9922417.63395876
678	782825.848121273	9922413.66216959
679	782828.885371811	9922409.69038043
680	782831.922622349	9922405.71859126
681	782834.959872886	9922401.7468021
682	782837.997123424	9922397.77501293
683	782841.034373962	9922393.80322377
684	782844.0716245	9922389.8314346
685	782847.108875038	9922385.85964544
686	782850.146125576	9922381.88785627
687	782853.183376114	9922377.91606711
688	782856.220626651	9922373.94427794
689	782859.257877189	9922369.97248878
690	782862.295127727	9922366.00069961
691	782865.332378265	9922362.02891045
692	782868.369628803	9922358.05712128
693	782871.406879341	9922354.08533212
694	782874.444129878	9922350.11354295
695	782877.481380416	9922346.14175379
696	782880.518630954	9922342.16996462
697	782883.555881492	9922338.19817546
698	782886.59313203	9922334.2263863
699	782889.630382568	9922330.25459713
700	782892.667633106	9922326.28280796
701	782895.704883643	9922322.3110188
702	782898.742134181	9922318.33922964
703	782901.779384719	9922314.36744047
704	782904.816635257	9922310.39565131
705	782907.853885795	9922306.42386214
706	782910.891136333	9922302.45207298
707	782913.928386871	9922298.48028381
708	782916.965637408	9922294.50849465
709	782920.002887946	9922290.53670548
710	782923.040138484	9922286.56491632
711	782926.077389022	9922282.59312715
712	782929.11463956	9922278.62133799
713	782932.151890098	9922274.64954882
714	782935.189140636	9922270.67775966
715	782938.226391173	9922266.70597049
716	782941.263641711	9922262.73418133
717	782944.300892249	9922258.76239216
718	782947.338142787	9922254.790603
719	782950.375393325	9922250.81881383
720	782953.412643863	9922246.84702467
721	782956.449894401	9922242.8752355
722	782959.487144938	9922238.90344634
723	782962.524395476	9922234.93165717
724	782965.561646014	9922230.95986801
725	782968.598896552	9922226.98807884
726	782971.63614709	9922223.01628968
727	782974.673397628	9922219.04450051
728	782977.710648166	9922215.07271135
729	782980.747898703	9922211.10092218
730	782983.785149241	9922207.12913302
731	782986.822399779	9922203.15734385
732	782989.859650317	9922199.18555469
733	782992.896900855	9922195.21376552
734	782995.934151393	9922191.24197636
735	782998.971401931	9922187.27018719
736	783002.008652468	9922183.29839803
737	783005.045903006	9922179.32660886
738	783008.083153544	9922175.3548197
739	783011.120404082	9922171.38303053
740	783014.15765462	9922167.41124137
741	783017.194905158	9922163.4394522
742	783020.232155696	9922159.46766304
743	783023.269406233	9922155.49587387
744	783026.306656771	9922151.52408471
745	783029.343907309	9922147.55229555
746	783032.381157847	9922143.58050638
747	783035.418408385	9922139.60871722
748	783038.455658923	9922135.63692805
749	783041.492909461	9922131.66513889
750	783044.530159998	9922127.69334972
751	783047.567410536	9922123.72156056
752	783050.604661074	9922119.74977139
753	783053.641911612	9922115.77798223
754	783056.67916215	9922111.80619306
755	783059.716412688	9922107.8344039
756	783062.753663226	9922103.86261473
757	783065.790913763	9922099.89082557
758	783068.828164301	9922095.9190364
759	783071.865414839	9922091.94724724
760	783074.902665377	9922087.97545807
761	783077.939915915	9922084.00366891
762	783080.977166453	9922080.03187974
763	783084.014416991	9922076.06009058
764	783087.051667528	9922072.08830141
765	783090.088918066	9922068.11651225
766	783093.126168604	9922064.14472308
767	783096.163419142	9922060.17293392
768	783099.20066968	9922056.20114475
769	783102.237920218	9922052.22935559
770	783105.275170756	9922048.25756642
771	783108.312421293	9922044.28577726
772	783111.349671831	9922040.31398809
773	783114.386922369	9922036.34219893
774	783117.424172907	9922032.37040976
775	783120.461423445	9922028.3986206
776	783123.498673983	9922024.42683143
777	783126.535924521	9922020.45504227
778	783129.573175058	9922016.4832531
779	783132.610425596	9922012.51146394
780	783135.647676134	9922008.53967477
781	783138.684926672	9922004.56788561
782	783141.72217721	9922000.59609644
783	783144.759427748	9921996.62430728
784	783147.796678286	9921992.65251811
785	783150.833928823	9921988.68072895
786	783153.871179361	9921984.70893979
787	783156.908429899	9921980.73715062
788	783159.945680437	9921976.76536145
789	783162.982930975	9921972.79357229
790	783166.020181513	9921968.82178313
791	783169.057432051	9921964.84999396
792	783172.094682588	9921960.8782048
793	783175.131933126	9921956.90641563
794	783178.169183664	9921952.93462647
795	783181.206434202	9921948.9628373
796	783184.24368474	9921944.99104814
797	783187.280935278	9921941.01925897
798	783190.318185816	9921937.04746981
799	783193.355436353	9921933.07568064
800	783196.392686891	9921929.10389148
801	783199.429937429	9921925.13210231
802	783202.467187967	9921921.16031315
803	783205.504438505	9921917.18852398
804	783208.541689043	9921913.21673482
805	783211.578939581	9921909.24494565
806	783214.616190118	9921905.27315649
807	783217.653440656	9921901.30136732
808	783220.690691194	9921897.32957816
809	783223.727941732	9921893.35778899
810	783226.76519227	9921889.38599983
811	783229.802442808	9921885.41421066
812	783232.839693346	9921881.4424215
813	783235.876943883	9921877.47063233
814	783238.914194421	9921873.49884317
815	783241.951444959	9921869.527054
816	783244.988695497	9921865.55526484
817	783248.025946035	9921861.58347567
818	783251.057133705	9921857.60709494
819	783254.057133705	9921853.60709494
820	783257.057133705	9921849.60709494
