njear	nrios	ntramo	ndist	xcoor	ycoor	dx	dt
1	171	0	43754.94	763587.230494	9897075.699494	30	0
1	171	0	43784.94	763587.230494	9897046.699494	30	0
1	171	0	43814.94	763587.230494	9897017.699494	30	0
1	171	0	43844.94	763587.230494	9896988.699494	30	0
1	171	0	43874.94	763587.230494	9896959.699494	30	0
1	171	0	43904.94	763587.230494	9896930.699494	30	0
1	171	0	43934.94	763587.230494	9896901.699494	30	0
1	171	0	43964.94	763587.230494	9896872.699494	30	0
1	171	0	43994.94	763587.230494	9896843.699494	30	0
1	171	0	44024.94	763587.230494	9896814.699494	30	0
1	171	0	44054.94	763587.230494	9896785.699494	30	0
1	171	0	44084.94	763587.230494	9896756.699494	30	0
1	171	0	44114.94	763587.230494	9896727.699494	30	0
1	171	0	44144.94	763587.230494	9896698.699494	30	0
1	171	0	44174.94	763587.230494	9896669.699494	30	0
1	171	0	44204.94	763587.230494	9896640.699494	30	0
1	171	0	44234.94	763587.230494	9896611.699494	30	0
1	171	0	44264.94	763587.230494	9896582.699494	30	0
1	171	0	44294.94	763587.230494	9896553.699494	30	0
1	171	0	44324.94	763587.230494	9896524.699494	30	0
1	171	0	44354.94	763587.230494	9896495.699494	30	0
1	171	0	44384.94	763587.230494	9896466.699494	30	0
1	171	0	44414.94	763587.230494	9896437.699494	30	0
1	171	0	44444.94	763587.230494	9896408.699494	30	0
1	171	0	44474.94	763587.230494	9896379.699494	30	0
1	171	0	44504.94	763587.230494	9896350.699494	30	0
1	171	0	44534.94	763587.230494	9896321.699494	30	0
1	171	0	44564.94	763587.230494	9896292.699494	30	0
1	171	0	44594.94	763587.230494	9896263.699494	30	0
1	171	0	44624.94	763587.230494	9896234.699494	30	0
1	171	0	44654.94	763587.230494	9896205.699494	30	0
1	171	0	44684.94	763587.230494	9896176.699494	30	0
1	171	0	44714.94	763587.230494	9896147.699494	30	0
1	171	0	44744.94	763587.230494	9896118.699494	30	0
1	171	0	44774.94	763587.230494	9896089.699494	30	0
1	171	0	44804.94	763587.230494	9896060.699494	30	0
1	171	0	44834.94	763587.230494	9896031.699494	30	0
1	171	0	44864.94	763587.230494	9896002.699494	30	0
1	171	0	44894.94	763587.230494	9895973.699494	30	0
1	171	0	44924.94	763587.230494	9895944.699494	30	0
1	171	0	44954.94	763587.230494	9895915.699494	30	0
1	171	0	44984.94	763587.230494	9895886.699494	30	0
1	171	0	45014.94	763587.230494	9895857.699494	30	0
1	171	0	45044.94	763587.230494	9895828.699494	30	0
1	171	0	45074.94	763587.230494	9895799.699494	30	0
1	171	0	45104.94	763587.230494	9895770.699494	30	0
1	171	0	45134.94	763587.230494	9895741.699494	30	0
1	171	0	45164.94	763587.230494	9895712.699494	30	0
1	171	0	45194.94	763587.230494	9895683.699494	30	0
1	171	0	45224.94	763587.230494	9895654.699494	30	0
1	171	0	45254.94	763587.230494	9895625.699494	30	0
1	171	0	45284.94	763587.230494	9895596.699494	30	0
1	171	0	45314.94	763587.230494	9895567.699494	30	0
